Player,FG,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Pos,Tm
Gary Harris,7.8,5.3,2.5,2.7,1.1,3.4,3.6,2.1,0.4,2.1,3,20.7,0.454,0.519,0.36,0.528,0.803,0.558,SG,DEN
Nikola Jokić,11.1,9.6,1.5,5.1,4.4,12,9.3,1.9,1.2,4.3,4.8,28.8,0.524,0.576,0.338,0.561,0.825,0.604,C,DEN
D'Angelo Russell,10.8,6.8,3.9,3.7,0.9,5.3,8.8,1.9,0.4,4.8,3.1,29.2,0.42,0.468,0.356,0.497,0.772,0.526,PG,TOT
Marcus Smart,5.6,3.1,2.5,3.1,1.5,4.5,6.9,2.6,0.6,2.9,4.4,16.7,0.374,0.434,0.318,0.456,0.774,0.501,SG,BOS
Isaiah Thomas,10.1,6.8,3.3,7.6,0.9,3.3,8.5,1.5,0.2,4,3.6,31.2,0.436,0.482,0.364,0.507,0.872,0.575,PG,WAS
Malcolm Brogdon,8.7,6.5,2.2,3.4,1.3,5.2,7.4,1.5,0.3,2.8,3.3,23.1,0.472,0.511,0.385,0.532,0.895,0.572,PG,IND
Aaron Gordon,8.3,6.4,1.9,3.5,2.7,8.3,4.1,1.3,1.1,2.4,3.5,22,0.447,0.508,0.318,0.498,0.701,0.53,PF,ORL
Serge Ibaka,9.1,8,1.2,2.6,3.8,9.1,1.3,0.8,3.6,2.4,4.9,22,0.514,0.548,0.361,0.547,0.76,0.571,C,TOR
T.J. Warren,10.6,9.4,1.2,3.3,2.3,4.6,2,1.7,0.8,1.7,4,25.6,0.504,0.534,0.35,0.532,0.777,0.561,SF,IND
Bojan Bogdanović,8.7,5.4,3.3,4.1,0.8,5.2,2.6,1,0.1,2.7,2.8,24.7,0.46,0.513,0.394,0.547,0.858,0.59,SF,UTA
Mikal Bridges,5.1,3.3,1.8,2.1,1.3,4.6,3.3,2.5,0.9,1.5,3.9,14.2,0.466,0.584,0.341,0.549,0.825,0.585,SF,PHO
Evan Fournier,8.9,5.8,3.1,3.7,0.8,4,4.5,1.5,0.2,2.9,4.3,24.6,0.449,0.502,0.376,0.528,0.807,0.564,SG,ORL
Justise Winslow,6.3,4.9,1.4,2,1.8,7.7,4.8,1.7,0.7,2.7,4.3,16,0.417,0.447,0.337,0.463,0.646,0.486,SF,MIA
Avery Bradley,8.4,6.1,2.3,1.7,1.1,4.1,3.1,1.8,0.4,2.5,3.9,20.8,0.436,0.472,0.364,0.496,0.78,0.515,SG,LAL
John Collins,10.7,9.5,1.2,4.3,4.8,9.9,2.6,0.9,1.8,2.8,5.2,27,0.571,0.615,0.369,0.604,0.757,0.634,PF,ATL
Myles Turner,8.5,7.2,1.3,3.9,2.5,9.2,2.1,1.2,3.6,2.3,4.9,22.2,0.488,0.524,0.354,0.526,0.768,0.565,C,IND
Dion Waiters,9,6.5,2.5,3.1,0.7,4,5,1.7,0.5,3.2,3.5,23.5,0.412,0.442,0.348,0.468,0.692,0.494,SG,MIA
Patrick Beverley,5.4,2.7,2.8,1.7,2,5.5,6,2,0.8,2.2,5.4,15.4,0.414,0.456,0.38,0.519,0.762,0.544,PG,LAC
Marvin Williams,6.8,5,1.8,3.6,2.2,7.3,2.4,1.4,1,1.8,3.7,18.9,0.443,0.482,0.362,0.501,0.808,0.548,PF,TOT
Draymond Green,5.6,4.1,1.6,2.7,1.9,9.9,8.6,2.4,1.8,3.6,4.8,15.5,0.435,0.506,0.319,0.496,0.71,0.531,PF,GSW
Tristan Thompson,6.9,6.8,0,3.3,6.2,9.6,1.8,0.9,1.3,2.1,4.2,17.1,0.518,0.52,0.281,0.519,0.61,0.546,C,CLE
Bogdan Bogdanović,8.5,5,3.5,2.7,0.8,4.7,6,1.7,0.4,2.9,3.7,23.1,0.432,0.488,0.37,0.52,0.803,0.547,SG,SAC
Goran Dragić,9.2,7,2.2,4.5,1.3,4.2,8.7,1.8,0.3,4.1,4.2,25.1,0.464,0.507,0.364,0.519,0.763,0.559,PG,MIA
Eric Bledsoe,9,7,1.9,5.3,1.4,5.6,8.5,2.5,0.8,4.7,3.6,25.1,0.457,0.507,0.337,0.506,0.795,0.558,PG,MIL
Buddy Hield,10.3,5.5,4.8,2.4,1.4,5.9,3.8,1.4,0.5,3,3.5,27.9,0.442,0.472,0.411,0.545,0.869,0.566,SG,SAC
DeAndre Jordan,6.9,6.9,0,3.4,5.8,13.8,1.7,1.1,2.9,2.5,4.8,17.2,0.669,0.671,0.091,0.67,0.474,0.639,C,BRK
George Hill,7.3,5,2.3,3.7,1.1,4.6,5.9,1.7,0.5,2.3,3.8,20.6,0.457,0.5,0.385,0.528,0.803,0.572,PG,MIL
Eric Paschall,9.2,8.1,1.1,4.7,2.4,5.6,3.7,0.9,0.4,2.7,3.6,24.2,0.497,0.55,0.287,0.526,0.774,0.571,PF,GSW
Dillon Brooks,8.2,5.6,2.6,3.1,1.3,4.1,3,1.5,0.5,2.7,5.7,22.1,0.418,0.449,0.364,0.485,0.775,0.518,SG,MEM
Jeff Teague,8.2,6.6,1.6,5.2,0.6,3.9,10.6,2.1,0.6,4.1,3.5,23.1,0.445,0.474,0.356,0.488,0.844,0.549,PG,TOT
Tyson Chandler,5.8,5.8,0,3.9,5.8,11.3,1.6,1,2.2,2.7,5.3,15.5,0.597,0.598,0,0.597,0.644,0.626,C,HOU
Rodney Hood,8.4,5.2,3.2,3.2,0.7,4.7,3.5,1.4,0.4,2.1,4.1,23.3,0.426,0.467,0.372,0.507,0.839,0.542,SF,POR
Wendell Carter,7.4,7.2,0.2,4.1,4.6,9.9,2.6,1.2,1.9,2.8,6.4,19.2,0.508,0.538,0.197,0.517,0.761,0.566,C,CHI
Tyler Herro,8.4,4.6,3.8,2.5,0.5,6.6,3.5,1.1,0.3,2.8,2.3,23.1,0.414,0.434,0.391,0.507,0.835,0.534,SG,MIA
Jordan Clarkson,10.4,7.7,2.7,3.5,1.6,4.2,4.7,1.6,0.2,3,3,26.9,0.447,0.502,0.341,0.505,0.818,0.537,SG,TOT
Courtney Lee,6.9,4.9,2.1,2.3,0.9,4.1,3.2,1.9,0.5,1.8,3.1,18.2,0.451,0.484,0.388,0.518,0.853,0.549,SG,DAL
Jaren Jackson,10,7,3,4.4,2,6.4,2.2,1.4,2.7,3.1,7,27.2,0.485,0.545,0.386,0.557,0.755,0.59,C,MEM
Marcus Morris,8.2,5.4,2.7,3.2,1.8,6.8,2.8,1.3,0.5,2.2,4,22.3,0.431,0.473,0.367,0.503,0.759,0.536,SF-PF,TOT
Evan Turner,7.3,6.6,0.7,2.8,1,7.7,6.6,1.4,0.5,3.4,3.7,18.2,0.434,0.458,0.294,0.455,0.782,0.493,PG,ATL
Steven Adams,7.4,7.4,0,3,6.3,7.6,2.1,1.6,1.8,2.6,4.8,17.9,0.589,0.59,0.1,0.589,0.558,0.596,C,OKC
Otto Porter,7.9,5.4,2.5,2.1,2.1,6.9,2.7,2.2,0.8,1.5,3.4,20.2,0.482,0.528,0.404,0.557,0.789,0.579,SF,CHI
Hassan Whiteside,10.7,10.7,0,4.2,6.3,15.7,1.3,1.1,4.5,3,4.9,25.7,0.582,0.583,0.32,0.583,0.606,0.598,C,POR
Cam Reddish,6.4,3.9,2.5,3,1.1,5.4,2.6,1.9,0.8,2.9,4,18.3,0.384,0.428,0.332,0.459,0.802,0.5,SF,ATL
Devonte' Graham,7.6,3.3,4.3,3.9,0.9,3.8,10.2,1.5,0.3,3.6,2.8,23.5,0.375,0.402,0.357,0.482,0.81,0.523,PG,CHO
Tim Hardaway,8.9,5.2,3.8,3.8,0.7,4.3,3.5,1.2,0.3,2.1,3.2,25.4,0.421,0.488,0.354,0.509,0.814,0.546,SG,DAL
Dario Šarić,7.9,5.2,2.8,3.4,2.9,8.2,3.8,1.1,0.4,3,3.9,22,0.437,0.499,0.356,0.514,0.835,0.553,PF,PHO
Duncan Robinson,7,1.2,5.9,1.2,0.3,5.1,2.2,0.9,0.3,1.5,4.4,21.2,0.461,0.63,0.438,0.653,0.881,0.666,SF,MIA
Taurean Waller-Prince,7.5,4.1,3.3,2.7,1,6.8,3.5,1.7,0.8,3.3,3.9,21,0.412,0.459,0.366,0.504,0.818,0.536,SF,BRK
Dennis Smith,9.1,6.8,2.3,3.1,1.2,4.7,8.5,2,0.6,4.9,4.2,23.6,0.4,0.44,0.314,0.45,0.647,0.475,PG,NYK
Jaylen Brown,9,6.5,2.5,3.6,1.6,6.7,2.7,1.6,0.6,2.8,4.6,24.3,0.47,0.526,0.37,0.536,0.68,0.562,SF,BOS
Clint Capela,9.9,9.9,0,3,6.1,12,1.8,1.3,2.7,2.3,4.7,22.8,0.634,0.635,0,0.634,0.526,0.629,C,HOU
Jonathan Isaac,6.5,4.7,1.9,2.6,2.4,7.9,2,2,2.9,2.1,3.8,17.5,0.432,0.495,0.328,0.494,0.794,0.529,SF,ORL
J.J. Redick,8.4,4.4,4.1,4.3,0.4,3.6,3.9,0.9,0.2,2.2,3,25.3,0.448,0.482,0.416,0.556,0.891,0.602,SG,NOP
Pascal Siakam,9.3,7.7,1.6,3.7,2.3,8.2,4.3,1.5,1.3,2.7,4.6,23.8,0.504,0.562,0.333,0.546,0.766,0.58,PF,TOR
Ryan Anderson,8.5,4.4,4.1,3.6,3.8,6.7,1.8,1,0.7,1.9,3.9,24.6,0.422,0.47,0.38,0.523,0.854,0.561,PF,HOU
Danuel House,5.8,2.7,3.1,2.3,1.4,5.6,2.2,1.4,0.7,1.4,3.4,16.9,0.44,0.563,0.369,0.557,0.797,0.588,SF,HOU
Coby White,9,5.2,3.8,2.9,0.8,5.8,5,1.4,0.2,3.1,3.4,24.7,0.394,0.43,0.354,0.478,0.791,0.506,SG,CHI
Spencer Dinwiddie,7.8,5.2,2.6,6.1,0.8,4.4,9.3,1.3,0.5,3.3,4.4,24.2,0.41,0.48,0.318,0.479,0.793,0.542,SG,BRK
Markelle Fultz,8.4,7.7,0.7,2.6,1.4,4.9,8.7,2.2,0.4,3.4,3.9,20,0.456,0.489,0.256,0.475,0.668,0.499,PG,ORL
Tyler Johnson,7.3,4.9,2.4,3.3,1.1,5.1,4.8,1.7,0.9,2.3,3.7,20.3,0.43,0.476,0.358,0.5,0.77,0.537,SG,PHO
Derrick Favors,9.3,9.2,0.1,4.1,5.1,9.7,2.3,1.6,2.5,2.8,5.2,22.9,0.53,0.539,0.207,0.533,0.662,0.562,C,NOP
Caris LeVert,8.6,6.2,2.4,3.6,1.4,5.5,6.5,2,0.5,3.4,3.6,23.2,0.43,0.478,0.342,0.49,0.711,0.522,SG,BRK
Markieff Morris,8.6,7,1.6,3.5,2.5,8,3.2,1.7,1.1,3.1,5.6,22.3,0.448,0.482,0.344,0.49,0.778,0.527,PF,TOT
Domantas Sabonis,9.3,8.7,0.6,4.2,3.9,11.5,5,1.1,0.8,3.6,5.6,23.3,0.522,0.545,0.321,0.538,0.722,0.574,C,IND
Bam Adebayo,7.7,7.7,0,4.7,4,10.8,5.5,1.6,1.7,3.3,4.5,20.2,0.558,0.568,0.114,0.559,0.711,0.603,PF,MIA
Miles Bridges,7.4,5.2,2.2,2.2,2.1,7.1,2.8,1.3,1.3,1.9,3.3,19.3,0.44,0.513,0.328,0.505,0.788,0.531,SF,CHO
Dennis Schröder,10.2,8,2.2,4.4,0.8,4.7,8.7,1.5,0.2,4.5,3.7,27,0.436,0.473,0.336,0.482,0.828,0.524,PG,OKC
Danny Green,6.3,2.6,3.7,1.4,1.2,5.7,3.1,2,1.6,2,3.5,17.7,0.424,0.461,0.402,0.549,0.81,0.568,SG,LAL
Joe Ingles,5.9,2.5,3.3,1.3,0.6,5.8,7.2,2,0.3,3.1,3.7,16.4,0.446,0.512,0.407,0.573,0.748,0.589,SF,UTA
Kyle Korver,6.7,2.7,4,2.1,0.6,5.4,3.5,1.3,0.7,2.1,4.1,19.6,0.442,0.464,0.429,0.574,0.876,0.602,SF,MIL
Marvin Bagley,10.7,9.9,0.8,5.1,4.7,9.3,1.8,1,1.8,2.9,4,27.3,0.497,0.53,0.288,0.517,0.703,0.553,PF,SAC
Michael Carter-Williams,7.6,6.7,0.9,4.4,1.8,6.8,8.6,2.6,1.1,4.6,4.8,20.5,0.403,0.437,0.256,0.427,0.711,0.475,SG,ORL
Josh Hart,5.6,2.8,2.8,1.9,1.3,7.4,2.6,1.7,0.8,1.7,3.9,15.8,0.428,0.542,0.353,0.534,0.713,0.557,SF,NOP
Jonas Valančiūnas,9.8,9.6,0.3,4.9,5.3,12.4,1.8,0.8,2.1,3.1,5.6,24.8,0.562,0.571,0.361,0.57,0.781,0.613,C,MEM
Reggie Jackson,9.6,7.2,2.3,4.2,1.1,4.8,8.8,1.4,0.2,3.8,3.9,25.7,0.428,0.469,0.336,0.48,0.857,0.524,PG,TOT
Al-Farouq Aminu,5.6,4.1,1.6,2.6,2.8,9.5,2.5,1.9,1.1,2.5,3.8,15.5,0.421,0.467,0.335,0.479,0.745,0.518,PF,ORL
Taj Gibson,8.1,8,0.1,3.2,4.7,8,2.1,1.1,2.1,2.4,5.1,19.4,0.515,0.521,0.22,0.517,0.709,0.55,C,NYK
Udonis Haslem,6.5,6.5,0,3,4,10.2,1.8,1,0.6,2,5,16.1,0.489,0.494,0.07,0.49,0.755,0.533,PF,MIA
Kevin Durant,12.5,10,2.5,9.2,1,8.6,5.6,1.5,1.5,4.3,2.6,36.8,0.493,0.532,0.381,0.542,0.883,0.613,SF,GSW
John Wall,9.7,8.4,1.3,6,0.8,5.3,13,2.4,1,5.4,3.2,26.7,0.433,0.457,0.324,0.462,0.781,0.519,PG,WAS
Pau Gasol,10.1,9.9,0.2,6,3.9,10.4,5,0.8,2.5,3.3,3.3,26.4,0.507,0.512,0.368,0.513,0.753,0.565,C,TOT
Klay Thompson,10.9,6.5,4.3,2.8,0.7,4.5,3.4,1.4,0.8,2.5,3.2,28.9,0.459,0.491,0.419,0.551,0.848,0.575,SG,GSW
DeMarcus Cousins,11.8,10.9,0.9,8.5,4.3,12.6,5.1,2.2,1.9,5.5,6,33.1,0.461,0.477,0.332,0.479,0.737,0.539,C,GSW
Tyreke Evans,9.8,8.4,1.4,5.1,1.4,6.2,8,2,0.6,4.2,3.7,26.1,0.44,0.468,0.323,0.471,0.757,0.517,SG,IND
Raymond Felton,7.4,5.7,1.7,3.1,1,4.2,9.2,2.1,0.4,3.6,3.4,19.6,0.412,0.445,0.329,0.459,0.79,0.497,PG,OKC
Jamal Crawford,8.9,6,2.9,4.9,0.6,3.3,6,1.6,0.4,3.3,2.7,25.7,0.41,0.449,0.348,0.477,0.862,0.529,SG,PHO
Andrew Bogut,7.7,7.7,0,2.2,4.5,11.3,4,1.1,2.8,3.1,5.7,17.6,0.535,0.537,0.12,0.535,0.557,0.545,C,GSW
Joakim Noah,6.3,6.3,0,3.9,6,11,5.3,1.5,2.5,3.2,5.2,16.5,0.491,0.493,0,0.491,0.7,0.54,C,MEM
Greg Monroe,9.9,9.9,0,4.9,5.2,10.2,4,2,1.1,3.5,4.2,24.6,0.514,0.515,0.059,0.514,0.704,0.553,C,TOT
J.R. Smith,8.6,4.8,3.8,2.9,1,5,4.1,1.9,0.4,2.6,4.3,23.8,0.419,0.463,0.373,0.511,0.732,0.536,SG,CLE
Nenê Hilário,8.4,8.4,0,5.1,3.4,8.3,3.5,2.1,1.4,3.4,5.9,21.9,0.548,0.551,0.132,0.548,0.66,0.585,C,HOU
Jeremy Lin,7.7,5.8,1.8,5.5,0.8,4.6,8.3,2.1,0.7,4.4,4.3,22.6,0.433,0.473,0.342,0.485,0.809,0.548,PG,TOT
